KMeans주제유사군집,지역_정규화,정책명,대표분류
0,전남,도심융합특구 조성,주거지원
0,전북,청년단기주거공간 운영(금강장),주거지원
0,전남,공공임대주택 공급,주거지원
0,전남,강진품애 청년 주거비 지원 사업,주거지원
0,전북,익산형 청년월세 지원사업,주거지원
1,전북,해외 K-Move 센터 운영,일자리
1,전북,전북특별자치도 기술창업 활성화 금융지원,일자리
1,전북,청년도전지원사업,일자리
1,전북,국내해외취업센터 운영,일자리
1,전북,국민내일배움카드,일자리
2,전남,문화비(체육시설 이용료 등) 소득공제,복지
2,전남,2025년 전국민마음투자지원사업,복지
2,전남,청년·대학생 햇살론(햇살론유스),복지
2,전남,청년 자산형성 지원(청년도약계좌),복지
2,전남,경남에서 한 달 여행하기,복지
3,전북,청년 1인가구 사회적 관계망 형성 지원,직무교육
3,전북,(청년 금융교육 지원) 대학 실용금융 강좌,직무교육
3,전북,이주배경청년(청소년)지원,직무교육
3,전북,파란사다리,직무교육
3,전북,(청년 금융교육 지원) 대학생 금융교육봉사단,직무교육
